"id","utmlong","utmlat","ESTtime","dx","dy","dist_km","dt","R2n_km2","abs.angle","rel.angle","grid.cell"
1,567094,2948625,"2016-07-07 22:00:00",-4,5,0.00640312423743285,7200,0.000445,2.24553726901845,-3.11035282015952,2780
1,567090,2948630,"2016-07-08 00:00:00",14,13,0.0191049731745428,3600,0.00074,0.748378047523518,-1.49715922149493,2780
1,567104,2948643,"2016-07-08 01:00:00",-24,-13,0.0272946881279124,3600,0.000905,-2.64516990018491,2.88963735947116,2780
1,567080,2948630,"2016-07-08 02:00:00",-5,-11,0.0120830459735946,3600,0.00128,-1.99742381992177,0.647746080263139,2780
1,567075,2948619,"2016-07-08 03:00:00",9,6,0.010816653826392,3600,0.001394,0.588002603547568,2.58542642346934,2780
1,567084,2948625,"2016-07-08 04:00:00",-5,0,0.005,3600,0.000905,3.14159265358979,2.55359005004223,2780
1,567079,2948625,"2016-07-08 05:00:00",16,0,0.016,3600,0.00121,0,3.14159265358979,2780
1,567095,2948625,"2016-07-08 06:00:00",-1,-2,0.00223606797749979,3600,0.00041,-2.0344439357957,-2.0344439357957,2780
1,567094,2948623,"2016-07-08 07:00:00",0,5,0.005,3600,0.000405,1.5707963267949,-2.67794504458899,2780
1,567094,2948628,"2016-07-08 08:00:00",0,4,0.004,3600,0.00052,1.5707963267949,0,2780
1,567094,2948632,"2016-07-08 09:00:00",0,4,0.004,3600,0.000648,1.5707963267949,0,2780
1,567094,2948636,"2016-07-08 10:00:00",91,-46,0.101965680500843,3600,0.000808,-0.468033545789598,-2.03882987258449,2780
1,567185,2948590,"2016-07-08 11:00:00",-111,68,0.130172961862285,3600,0.005905,2.59195075339475,3.05998429918434,2780
1,567074,2948658,"2016-07-08 12:00:00",80,-122,0.145890369798695,3600,0.00338,-0.990398139401022,2.70083641438382,2780
1,567154,2948536,"2016-07-08 13:00:00",104,82,0.132438665049146,3600,0.007848,0.667665588593355,1.65806372799438,2780
1,567258,2948618,"2016-07-08 14:00:00",-188,18,0.188859736312428,3600,0.021332,3.04613893925708,2.37847335066372,2780
1,567070,2948636,"2016-07-08 15:00:00",29,-26,0.0389486841883009,3600,0.002248,-0.730906707156717,2.50613966076579,2780
1,567099,2948610,"2016-07-08 16:00:00",-17,31,0.0353553390593274,32400,0.000185,2.07240038098402,2.80330708814073,2780
1,567082,2948641,"2016-07-09 01:00:00",0,-2,0.002,3600,0.001629,-1.5707963267949,2.63998859940067,2780
1,567082,2948639,"2016-07-09 02:00:00",-13,-9,0.0158113883008419,7200,0.001525,-2.53604798998482,-0.965251663189927,2780
1,567069,2948630,"2016-07-09 04:00:00",10,11,0.0148660687473185,7200,0.002105,0.832981266674432,-2.91415605052033,2780
1,567079,2948641,"2016-07-09 06:00:00",-4,0,0.004,7200,0.001818,3.14159265358979,2.30861138691536,2780
1,567075,2948641,"2016-07-09 08:00:00",55,-16,0.0572800139664787,7200,0.002098,-0.283095785299496,2.8584968682903,2780
1,567130,2948625,"2016-07-09 10:00:00",-28,7,0.0288617393793236,7200,0.000445,2.89661399046293,-3.10347553141716,2780
1,567102,2948632,"2016-07-09 12:00:00",-7,-2,0.00728010988928052,7200,0.000424,-2.86329299458468,0.523278322131976,2780
1,567095,2948630,"2016-07-09 14:00:00",12,2,0.0121655250605964,7200,0.000545,0.165148677414627,3.02844167199931,2780
1,567107,2948632,"2016-07-09 16:00:00",-20,0,0.02,32400,0.000349,3.14159265358979,2.97644397617517,2780
1,567087,2948632,"2016-07-10 01:00:00",2,4,0.00447213595499958,3600,0.000949,1.10714871779409,-2.0344439357957,2780
1,567089,2948636,"2016-07-10 02:00:00",-5,2,0.0053851648071345,7200,0.001013,2.76108627647743,1.65393755868334,2780
1,567084,2948638,"2016-07-10 04:00:00",-2,-2,0.00282842712474619,7200,0.00136,-2.35619449019234,1.16590454050981,2780
1,567082,2948636,"2016-07-10 06:00:00",5,-10,0.0111803398874989,7200,0.001384,-1.10714871779409,1.24904577239825,2780
1,567087,2948626,"2016-07-10 08:00:00",13,14,0.0191049731745428,7200,0.000769,0.822418279271378,1.92956699706547,2780
1,567100,2948640,"2016-07-10 10:00:00",2,-17,0.0171172427686237,7200,0.00082,-1.45368758222803,-2.27610586149941,2780
1,567102,2948623,"2016-07-10 12:00:00",7,-17,0.0183847763108502,7200,0.000181,-1.18018928309721,0.273498299130823,2780
1,567109,2948606,"2016-07-10 14:00:00",-19,26,0.0322024843762092,7200,7.3e-05,2.20187571426623,-2.90112030981615,2780
1,567090,2948632,"2016-07-10 16:00:00",0,-4,0.004,32400,0.000808,-1.5707963267949,2.51051326611846,2780
